,score,parameters
0,0.047346987689080425,eps:0.6 min_sample :2
0,0.3633966151604848,eps:0.6 min_sample :3
0,0.3554874712849233,eps:0.6 min_sample :4
0,0.047494660779895836,eps:0.6 min_sample :2
0,0.36544250815479146,eps:0.6 min_sample :3
0,0.35750728438728036,eps:0.6 min_sample :4
0,0.047494660779895836,eps:0.7 min_sample :2
0,0.36544250815479146,eps:0.7 min_sample :3
0,0.35750728438728036,eps:0.7 min_sample :4
0,0.04958879826087315,eps:0.7 min_sample :2
0,0.36837746652292525,eps:0.7 min_sample :3
0,0.36042510533141164,eps:0.7 min_sample :4
0,0.052445505286045156,eps:0.7 min_sample :2
0,0.19895828625725762,eps:0.7 min_sample :3
0,0.3624309595167402,eps:0.7 min_sample :4
0,0.05216948984499859,eps:0.7 min_sample :2
0,0.19909574272788877,eps:0.7 min_sample :3
0,0.36837746652292525,eps:0.7 min_sample :4
0,0.05436652729358058,eps:0.7 min_sample :2
0,0.20153519180954288,eps:0.7 min_sample :3
0,0.3713839460634646,eps:0.7 min_sample :4
0,0.04640907532180713,eps:0.7 min_sample :2
0,0.20056442230667693,eps:0.7 min_sample :3
0,0.20056442230667693,eps:0.7 min_sample :4
0,0.04673998291565769,eps:0.7 min_sample :2
0,0.20119742694186266,eps:0.7 min_sample :3
0,0.20119742694186266,eps:0.7 min_sample :4
0,0.05282043019128223,eps:0.7 min_sample :2
0,0.20149509738893392,eps:0.7 min_sample :3
0,0.20119742694186266,eps:0.7 min_sample :4
0,0.06362187224319454,eps:0.7 min_sample :2
0,0.2097323871955993,eps:0.7 min_sample :3
0,0.2091475513581964,eps:0.7 min_sample :4
0,0.16571149090997758,eps:0.7 min_sample :2
0,0.21938389946675585,eps:0.7 min_sample :3
0,0.21506174443725973,eps:0.7 min_sample :4
0,0.1805606476900098,eps:0.8 min_sample :2
0,0.19865068641440625,eps:0.8 min_sample :3
0,0.21506174443725973,eps:0.8 min_sample :4
0,0.13986115497630527,eps:0.8 min_sample :2
0,0.18536472369395182,eps:0.8 min_sample :3
0,0.21740470649242727,eps:0.8 min_sample :4
0,0.15125086919159791,eps:0.8 min_sample :2
0,0.19345644557719083,eps:0.8 min_sample :3
0,0.19563175068134195,eps:0.8 min_sample :4
0,0.1533525131501812,eps:0.8 min_sample :2
0,0.19572407049114507,eps:0.8 min_sample :3
0,0.19785785266976652,eps:0.8 min_sample :4
0,0.15120753860951772,eps:0.8 min_sample :2
0,0.19572407049114507,eps:0.8 min_sample :3
0,0.19785785266976652,eps:0.8 min_sample :4
0,0.13011644187395774,eps:0.8 min_sample :2
0,0.1980895385244873,eps:0.8 min_sample :3
0,0.2002346401357683,eps:0.8 min_sample :4
0,0.13723542228510047,eps:0.8 min_sample :2
0,0.2072462756441478,eps:0.8 min_sample :3
0,0.20438431975988447,eps:0.8 min_sample :4
0,0.13874322530759678,eps:0.8 min_sample :2
0,0.2095843182204395,eps:0.8 min_sample :3
0,0.22808656497386484,eps:0.8 min_sample :4
0,0.13874322530759678,eps:0.8 min_sample :2
0,0.2095843182204395,eps:0.8 min_sample :3
0,0.22808656497386484,eps:0.8 min_sample :4
0,0.11649992789610518,eps:0.8 min_sample :2
0,0.2090782271217163,eps:0.8 min_sample :3
0,0.22784916888995724,eps:0.8 min_sample :4
0,0.11721336482971294,eps:0.9 min_sample :2
0,0.21019535469100412,eps:0.9 min_sample :3
0,0.22888991880677997,eps:0.9 min_sample :4
0,0.11904134866715234,eps:0.9 min_sample :2
0,0.21556962150310363,eps:0.9 min_sample :3
0,0.23694071834868505,eps:0.9 min_sample :4
0,0.11904134866715234,eps:0.9 min_sample :2
0,0.21556962150310363,eps:0.9 min_sample :3
0,0.23694071834868505,eps:0.9 min_sample :4
0,0.12481854925960939,eps:0.9 min_sample :2
0,0.21556962150310363,eps:0.9 min_sample :3
0,0.23694071834868505,eps:0.9 min_sample :4
